"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Afghanistan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","26556754","1"
"Åland Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","28792","2"
"Albania","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2895947",""
"Albania","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","2889104",""
"Algeria","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","39114275",""
"American Samoa","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","61811","3"
"Andorra","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","70155","2"
"Angola","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2016","25789024",""
"Angola","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","25901182","4"
"Anguilla","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","14221.23",""
"Antigua and Barbuda","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","89391","5"
"Argentina","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2017","42669500","6"
"Armenia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","3013839",""
"Aruba","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2022","106807.437888926",""
"Australia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","23475686","7"
"Austria","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","8543974.75",""
"Austria","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","8507786",""
"Azerbaijan","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","9477119",""
"Azerbaijan","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","9535100",""
"Bahamas","2014","Total","Both Sexes","Estimate - de facto","Provisional figure","2014","364000",""
"Bahamas","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","365920","6"
"Bahrain","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","1314562","8"
"Bangladesh","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2020","156880000",""
"Barbados","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","277199",""
"Belarus","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","9468154",""
"Belarus","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2020","9448515","9"
"Belgium","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11203992",""
"Belgium","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11231213",""
"Belize","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2020","358899",""
"Benin","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","10293235","10"
"Bermuda","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","61777","6"
"Bhutan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","745153","11"
"Bolivia (Plurinational State of)","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2020","10665841","4"
"Bolivia (Plurinational State of)","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","10685994","4"
"Bosnia and Herzegovina","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","3526000",""
"Botswana","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2016","2156366","5"
"Brazil","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2022","201717541","12,13"
"British Virgin Islands","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2023","33054",""
"Brunei Darussalam","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2018","407600",""
"Bulgaria","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","7223937",""
"Bulgaria","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","7245677",""
"Burkina Faso","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2017","17880386","14"
"Burundi","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","10654343",""
"Cabo Verde","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2017","518467.165245198","14"
"Cambodia","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2023","15184116","15,16"
"Cameroon","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2019","22454094","17"
"Canada","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","35437435","18,19"
"Cayman Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","58237.9999999994",""
"Cayman Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","56993",""
"Chad","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2019","13200844",""
"Chile","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2020","17787617","20"
"China","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","1376460000","21,22"
"China, Hong Kong SAR","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","7229500",""
"China, Macao SAR","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","621700",""
"Colombia","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2021","45866010","23"
"Congo","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2019","4666379",""
"Cook Islands","2014","Total","Both Sexes","Estimate - de facto","Provisional figure","2014","18600",""
"Costa Rica","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4772098","24"
"Côte d'Ivoire","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2016","22224509",""
"Côte d'Ivoire","2014","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2016","22671331",""
"Côte d'Ivoire","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","22723460","25"
"Croatia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4238389",""
"Croatia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4246809",""
"Cuba","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11224190",""
"Curaçao","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","155909","4"
"Cyprus","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2016","852504","26,27"
"Czechia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","10524783",""
"Czechia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","10512419",""
"Democratic Republic of the Congo","2014","Total","Both Sexes","Estimate - de jure","Provisional figure with questionable reliability","2021","83197000","4"
"Denmark","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","5639719","2,28"
"Djibouti","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","902343",""
"Dominica","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2020","71281",""
"Dominica","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2016","71575",""
"Dominican Republic","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2023","9883486","14"
"Ecuador","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2023","15993425","29,30"
"Egypt","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","88529988",""
"El Salvador","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2022","6239495","31,32"
"Eritrea","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2018","2975850.66619639","33"
"Estonia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","1314545",""
"Estonia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","1315819",""
"Eswatini","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2020","1106189","32"
"Ethiopia","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","87952000","34"
"Faroe Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","48426",""
"Fiji","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2020","865611",""
"Finland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","5432721","2,35"
"Finland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","5451270","2"
"France","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","64027784","36"
"France","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","64164389.5","36"
"French Guiana","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","252338",""
"French Guiana","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","256102",""
"French Polynesia","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2022","271439.981603515","20"
"Gambia","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","1897597",""
"Georgia","2014","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2016","3713804",""
"Georgia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2021","3719413.5","25"
"Germany","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","80982500","5"
"Germany","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","80767463",""
"Ghana","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","27043093","6"
"Gibraltar","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2017","33140","37"
"Greece","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","10892369",""
"Greece","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","10903704","38"
"Greenland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","56295","2"
"Grenada","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2016","109374",""
"Guadeloupe","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","399088","39"
"Guadeloupe","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","438635","39"
"Guam","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","161001","3"
"Guatemala","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","15306316",""
"Guernsey","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","62341",""
"Guinea","2014","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2016","10523261",""
"Guinea","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2018","10599848","4,40"
"Guinea-Bissau","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","1514451","14"
"Guyana","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","745873","41"
"Haiti","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2017","10745665","42"
"Honduras","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2020","8432153","10"
"Hungary","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","9877365","38"
"Hungary","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","9866468","38"
"Iceland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","327385.5","43"
"Iceland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","325671","43"
"India","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","1264298000","44,45"
"Indonesia","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2016","252164786","46"
"Iran (Islamic Republic of)","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","77856411","47"
"Iraq","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","35736260",""
"Ireland","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","4637852",""
"Ireland","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","4657739.5",""
"Ireland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","4645440","38"
"Isle of Man","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","86322.4117332048",""
"Israel","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","8215667.51","48,49,50"
"Italy","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","60789140",""
"Italy","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","60782668","38"
"Jamaica","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2720554",""
"Japan","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","127276000","51,52"
"Jersey","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","100208",""
"Jordan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","8804000","53"
"Kazakhstan","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","17160774",""
"Kazakhstan","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","17288285","54,55"
"Kenya","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","42961187","56"
"Kuwait","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","3588092",""
"Kyrgyzstan","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","5835816","26"
"Lao People's Democratic Republic","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2016","6693300","52"
"Latvia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","1993782",""
"Latvia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","2001468",""
"Lesotho","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","1916573","57"
"Liberia","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","3946311",""
"Libya","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","6096207.96619253","58"
"Liechtenstein","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","37129","59"
"Liechtenstein","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","37215",""
"Lithuania","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2932367","38"
"Lithuania","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2943472","38"
"Luxembourg","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","549680",""
"Luxembourg","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2020","556319",""
"Madagascar","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","22434363","60"
"Malawi","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","15805239","14"
"Malaysia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","30708527","61"
"Maldives","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2016","402071","62"
"Maldives","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2021","437535","25,62"
"Maldives","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","341848","63"
"Mali","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","17319000","64"
"Malta","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","429424","65"
"Malta","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","434606","65"
"Martinique","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","382394",""
"Martinique","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","383911",""
"Mauritania","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","3637185","14"
"Mauritius","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","1260934","5,66"
"Mayotte","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","227951",""
"Mayotte","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2020","223713",""
"Mexico","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","119936411","67"
"Micronesia (Federated States of)","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2019","103562.136662657","68"
"Monaco","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","36900","54"
"Mongolia","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","2963113",""
"Montenegro","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","621521","38"
"Montenegro","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","621810","38"
"Montserrat","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2022","4798",""
"Morocco","2014","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2015","33848242",""
"Morocco","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2017","33769512","69"
"Mozambique","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","25041922","32"
"Myanmar","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2015","51486253","70"
"Myanmar","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2015","50279900","71"
"Myanmar","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","51991031","25"
"Namibia","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","2237894","5"
"Nepal","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","27646053","5"
"Netherlands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","16865007",""
"Netherlands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","16829289","43"
"New Caledonia","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2017","268767",""
