"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"New Caledonia","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2017","268050",""
"New Caledonia","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2017","265900",""
"New Zealand","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4509700","49"
"Nicaragua","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2018","6198154",""
"Niger","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2023","18293809","72"
"Nigeria","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","176438990","73"
"Niue","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","1515","20,38"
"North Macedonia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2065769",""
"North Macedonia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","2067471",""
"Northern Mariana Islands","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","51483","74"
"Norway","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","5137231.5","38"
"Norway","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","5107970","38"
"Oman","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","3992893","75"
"Pakistan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","188020000","76"
"Palau","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","17607",""
"Panama","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","3913275","6"
"Papua New Guinea","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","7816780","77"
"Paraguay","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","6657232","78"
"Peru","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","29616414","79"
"Philippines","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2019","99880300","6"
"Poland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2020","38006154","38"
"Poland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","38017856","38"
"Portugal","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","10427301","38"
"Portugal","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","10401061.5",""
"Puerto Rico","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","3534874","3,4"
"Qatar","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","2216180",""
"Republic of Korea","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","50746659",""
"Republic of Korea","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","50763158","43"
"Republic of Moldova","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2016","2805194","80"
"Republic of Moldova","2014","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2016","2681033","38,80"
"Republic of Moldova","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2021","2856950","81"
"Republic of South Sudan","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","10585044","82"
"Reunion","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2020","842767",""
"Reunion","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","846747",""
"Romania","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2017","19916451","38"
"Russian Federation","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","146090600","83"
"Rwanda","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","10996891","72"
"Saint Barthélemy","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2021","9526",""
"Saint Helena ex. dep.","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2021","4466",""
"Saint Lucia","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2021","172623.403846186","38"
"Saint Pierre and Miquelon","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","6028",""
"Saint Vincent and the Grenadines","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","110167.181818182",""
"Saint-Martin (French part)","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2022","35395.5",""
"Samoa","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","192134",""
"Samoa","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2020","192067",""
"San Marino","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","33648","2"
"Sao Tome and Principe","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2018","186024","72"
"Saudi Arabia","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2023","30339795",""
"Saudi Arabia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","28309273","84"
"Senegal","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2021","14129890","14"
"Serbia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","7146759","38,85"
"Serbia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","7131787","85"
"Seychelles","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","91359",""
"Sierra Leone","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2020","6899819","20"
"Singapore","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","3870739","86,87"
"Singapore","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","5469724","88"
"Sint Maarten (Dutch part)","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","37132",""
"Slovakia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","5415949","38"
"Slovakia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","5418649",""
"Slovenia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2061085","38,89"
"Slovenia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2061623",""
"Solomon Islands","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","611538.092311146","90"
"Somalia","2014","Total","Both Sexes","Sample survey - de facto","Final figure, complete","2019","12316895","91"
"South Africa","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2023","54369436","92"
"Spain","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","46480882","43"
"Spain","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","46512199","43"
"Sri Lanka","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2023","20777595",""
"State of Palestine","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","4429084",""
"Sudan","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2020","35732543","14"
"Suriname","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","558773",""
"Sweden","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","9696109.5","2,43"
"Sweden","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","9644864","2,43"
"Switzerland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","8188648.5","59"
"Switzerland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2020","8237666","59"
"Tajikistan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","8256572",""
"Thailand","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2018","64955313",""
"Timor-Leste","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","1212107","14"
"Togo","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2019","6752334","4"
"Tokelau","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","1384","77"
"Tonga","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2023","101691.389107581",""
"Trinidad and Tobago","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","1345343","5"
"Tunisia","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2015","10982754.0000059",""
"Tunisia","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2020","11012485.8268991",""
"Türkiye","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2016","77695904","93"
"Turks and Caicos Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2017","35168",""
"Tuvalu","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","10869",""
"Uganda","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2017","34634650",""
"Uganda","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","34141299","25"
"Ukraine","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","45426249",""
"Ukraine","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","45245894",""
"United Arab Emirates","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2020","8798841","94"
"United Kingdom of Great Britain and Northern Ireland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","64596752","38,95"
"United Kingdom of Great Britain and Northern Ireland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","64308261","38,95"
"United Republic of Tanzania","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","47831361","72"
"United States of America","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2021","318857056","4,96"
"United States Virgin Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","104170","3,74"
"Uruguay","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2023","3453690.50875466","14"
"Uzbekistan","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","30757669","54"
"Vanuatu","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2020","260617.738793867","97"
"Venezuela (Bolivarian Republic of)","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2023","30206307",""
"Viet Nam","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2022","91203800","20"
"Wallis and Futuna Islands","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","12250","77"
"Yemen","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2019","25955919.9892567","14"
"Zambia","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2018","15023315","6"
"Zimbabwe","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","13993467","4"

"footnoteSeqID","Footnote"
"1","Data refer to the settled population based on the 1979 Population Census and the latest household prelisting. The refugees of Afghanistan in Iran, Pakistan, and an estimated 1.5 million nomads, are not included."
"2","Population statistics are compiled from registers."
"3","Including armed forces stationed in the area."
"4","Post-censal estimates."
"5","Based on the results of the 2011 Population Census."
"6","Data based on the 2010 Population Census."
"7","Based on the results of the 2016 Population Census."
"8","Based on population registers."
"9","Average annual population based on the final data of 2019 Population Census."
"10","Projections based on the 2013 Population Census."
"11","Data refer to projected figures based on the Population and Housing Census 2005 (district projection)."
"12","Data include persons in remote areas, military personnel outside the country, merchant seamen at sea, civilian seasonal workers outside the country, and other civilians outside the country, and exclude nomads, foreign military, civilian aliens temporarily in the country, transients on ships and Indian jungle population."
"13","Projection of the population of Brazil and Federation Units by sex and age for the period 2010-2060."
"14","Data refer to national projections."
"15","Data based on the 2008 Population Census."
"16","Excluding foreign diplomatic personnel and their dependants."
"17","Source: Population projections and estimates of priority targets for the various health programs and interventions, National Institute of Statistics (2016)."
"18","Final intercensal estimates."
"19","Adjusted for census net undercoverage (including adjustment for incompletely enumerated Indian reserves)."
"20","Inter-censal estimates."
"21","Data have been estimated on the basis of the annual National Sample Survey on Population Changes."
"22","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan province of China."
"23","Data are revised projections taking into consideration also the results of the 2018 census."
"24","Based on the annual national household survey and the 2011 population census."
"25","Based on the results of the 2014 Population Census."
"26","Data refer to annual average population."
"27","Data refer to government controlled areas."
"28","Excluding Faroe Islands and Greenland shown separately, if available."
"29","Excludes nomadic Indian tribes."
"30","Population projections based on information available up to 2020."
"31","Source: El Salvador National Population Estimates and Projections 2005-2050 (2021 revision)."
"32","Data refer to national projections based on 2007 census."
"33","Estimates based on the 2000 quick population count results and 1995, 2002 and 2010 Eritrea Demographic and Health Surveys."
"34","Estimates considering also the results of the 2007 Population Census."
"35","Excluding Åland Islands."
"36","Excluding diplomatic personnel outside the country and including members of alien armed forces not living in military camps and foreign diplomatic personnel not living in embassies or consulates."
"37","Excluding military personnel, visitors and transients."
"38","Data refer to usual resident population."
"39","Excluding data for Saint Barthélémy and Saint Martin."
"40","Population in households only."
"41","Estimates based on low variant projections."
"42","Projections produced by l’Institut Haïtien de Statistique et d’Informatique (IHSI) and the Latin American and Caribbean Demographic Centre (CELADE) - Population Division of ECLAC."
"43","Data refer to registered resident population."
"44","Includes data for the Indian-held part of Jammu and Kashmir, the final status of which has not yet been determined."
"45","Data are projections based on the 2011 Population Census."
"46","Data are based on the publication: "Indonesia Population Projection 2010-2035""
"47","Data refer to the Iranian Year which begins on 21 March and ends on 20 March of the following year."
"48","Includes data for East Jerusalem and Israeli residents in certain other territories under occupation by Israeli military forces since June 1967."
"49","Because of rounding, totals are not in all cases the sum of the respective components."
"50","Data refer to Israeli citizens and permanent residents who are listed in the Population Register."
"51","Excluding diplomatic personnel outside the country and foreign military and civilian personnel and their dependants stationed in the area."
"52","Estimates or projections based on the 2015 population census."
"53","Excluding data for Jordanian territory under occupation since June 1967 by Israeli military forces."
"54","Data refer to resident population."
"55","Recalculated population estimates taking into account late registration of births and deaths until May 2017."
"56","Post-censal estimates based on the 2009 Population Census."
"57","Data are projections based on the 2006 Population Census."
"58","Data refer to Libyan nationals only."
"59","Data refer to legal resident population."
"60","Data refer to projections based on the 1993 Population Census."
"61","Estimates based on the adjusted results of the Population and Housing Census of 2010."
"62","Data refer to resident population which includes resident Maldivians and resident foreigners."
"63","Data refer to resident Maldivian population."
"64","Projections considering also the results of the 2009 Population Census."
"65","Including civilian nationals temporarily outside the country."
"66","Excludes the islands of St. Brandon and Agalega."
"67","Data revised by CONAPO (National Population Council)."
"68","Based on the 2010 Population and Housing Census and 2013/2014 Household Income and Expenditure Survey."
"69","Projections based on the results of national survey on population and health conducted between 2010 and 2011, and especially population and housing census 2014."
"70","The total for the whole country includes 1,206,353 persons estimated not to have been counted in parts of States of  Rakhine, Kachin and Kayin."
"71","Data refer to enumerated population. The total for the whole country excludes 1,206,353 persons estimated not to have been counted in parts of States of  Rakhine, Kachin and Kayin."
"72","Projections based on the 2012 Population Census."
"73","Source: National Population Commission."
"74","Source: U.S. National Center for Health Statistics, National Vital Statistics Reports (NVSR)."
"75","Data refer to registered population data from Royal Oman Police."
"76","Excluding data for the Pakistan-held part of Jammu and Kashmir, the final status of which has not yet been determined."
"77","Estimates are prepared by the Secretariat of the Pacific Community."
"78","Estimates or projections considering also the results of the 2012 Population Census."
"79","Source: INEI – National population estimates and projections."
"80","Tiraspol, Bender, Slobozia, Ribnita, Camenca  Yrigoricpol/Grigoriopol are districts from Transnistria where the census was not conducted."
"81","Data refer to usual resident population based on the 2014 Census. Without the data on districts from the left side of the river Nistru and municipality Bender."
"82","Data are projections based on the 2008 Population and Housing Census."
"83","Information provided by the Russian Federation. Includes statistical data for the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine, temporarily occupied by the Russian Federation."
"84","Based on the results of the 2022 Population Census."
"85","Excludes data for Kosovo and Metohia."
"86","Data refer to resident population which comprises Singapore citizens and permanent residents."
"87","Data exclude residents who have been away from Singapore for a continuous period of 12 months or longer as at the reference date."
"88","Data refer to total population, which comprises Singapore residents and non-residents. Data exclude residents who have been away from Singapore for a continuous period of 12 months or longer as at the reference date."
"89","The data for urban and rural exclude the nationals temporarily outside the country."
"90","Projections based on adjusted 2009 census counts."
"91","Based on the results of a labour force survey."
"92","Final postcensal estimates."
"93","Data based on Address Based Population Registration System."
"94","Data include non-national population."
"95","Excluding Channel Islands (Guernsey and Jersey) and Isle of Man, shown separately, if available."
"96","Excluding U.S. Armed Forces overseas and civilian U.S. citizens whose usual place of residence is outside the United States."
"97","Estimates based on the results of 1999 and in 2009 censuses."
