,Country,Sentiment,NEG_count,NEG_sum,NEU_count,NEU_sum,POS_count,POS_sum
0,Abkhazia,NEU,23.0,16.88133329153061,109.0,98.44342601299286,2.0,1.3818589448928833
1,Abu_Dhabi,NEU,4.0,3.0161668062210083,42.0,37.85585981607437,3.0,1.9774380326271057
2,Afghanistan,NEU,27.0,22.140542328357697,119.0,106.64192134141922,15.0,11.823923707008362
3,Albania,NEU,11.0,8.994322776794434,78.0,67.85618704557419,8.0,5.589543700218201
4,Algeria,NEU,16.0,13.254206955432892,111.0,97.18214172124863,9.0,7.147485852241516
5,Andorra,NEU,1.0,0.8431990742683411,48.0,45.01330476999283,5.0,3.3060014843940735
6,Angola,NEU,9.0,7.1952462792396545,43.0,38.47752261161804,4.0,2.842318058013916
7,Anguilla,NEU,1.0,0.6799450516700745,21.0,19.541057646274567,6.0,4.535531580448151
8,Antigua_and_Barbuda,NEU,7.0,5.809001445770264,110.0,99.26082557439804,22.0,18.96328568458557
9,Argentina,NEU,13.0,9.912523686885834,232.0,203.00048649311066,66.0,50.82960629463196
10,Armenia,NEU,15.0,13.745612144470215,143.0,128.88624921441078,24.0,17.66433745622635
11,Aruba,NEU,0.0,0.0,28.0,24.965714156627655,8.0,6.150702774524689
12,Australia,NEU,9.0,6.861314177513123,125.0,112.6876449584961,17.0,12.29983502626419
13,Austria,NEU,4.0,2.6642727851867676,96.0,86.81460240483284,6.0,4.725315570831299
14,Azerbaijan,NEU,7.0,5.139338672161102,85.0,79.54412931203842,1.0,0.743326723575592
15,Bahamas,NEU,6.0,4.605228960514069,36.0,32.02630913257599,6.0,4.694744944572449
16,Bahrain,NEU,11.0,8.046357154846191,84.0,73.31509006023407,11.0,8.273962557315826
17,Bangladesh,NEU,18.0,14.472569406032562,81.0,69.66684404015541,15.0,10.102604627609253
18,Barbados,NEU,8.0,6.489568054676056,98.0,87.38308000564575,15.0,11.642821550369263
19,Belarus,NEU,11.0,9.066570222377777,103.0,93.16408497095108,5.0,4.361202538013458
20,Belgium,NEU,5.0,4.273044049739838,102.0,90.72334569692612,23.0,16.495174765586853
21,Belize,NEU,5.0,4.05510538816452,46.0,41.79823476076126,4.0,2.9377644658088684
22,Benin,NEU,4.0,2.9344687461853027,64.0,57.26124286651611,5.0,3.7974535822868347
23,Bermuda,NEU,2.0,1.2261767387390137,82.0,72.6336550116539,4.0,2.9975531697273254
24,Bhutan,NEU,8.0,6.43946373462677,116.0,103.85055232048035,6.0,5.1226813197135925
25,Bolivia,NEU,27.0,22.02506047487259,104.0,88.54773753881454,16.0,12.626429677009583
26,Bosnia_and_Herzegovina,NEU,13.0,10.981134176254272,154.0,137.31974077224731,17.0,13.042535722255707
27,Botswana,NEU,2.0,1.524681568145752,48.0,41.203435122966766,9.0,7.779527366161346
28,Brazil,NEU,11.0,9.00969284772873,104.0,91.86562788486481,17.0,13.137152910232544
29,British_Indian_Ocean_Territory,NEU,1.0,0.6681193113327026,42.0,38.68222790956497,0.0,0.0
30,British_Virgin_Islands,NEU,1.0,0.895760178565979,38.0,35.47901636362076,2.0,1.7438467144966125
31,Brunei,NEU,1.0,0.6995644569396973,28.0,24.26313841342926,1.0,0.8199700117111206
32,Bulgaria,NEU,11.0,8.967089414596558,124.0,112.29901230335236,25.0,21.087370574474335
33,Burkina_Faso,NEU,5.0,3.61321485042572,53.0,49.2601523399353,0.0,0.0
34,Burundi,NEU,8.0,6.6392258405685425,37.0,35.151582181453705,1.0,0.8631818294525146
35,Cambodia,NEU,18.0,14.592719376087189,92.0,83.18963450193405,4.0,2.792941093444824
36,Cameroon,NEU,4.0,3.6458663940429688,79.0,68.94011849164963,5.0,4.1457125544548035
37,Canada,NEU,5.0,4.009755730628967,140.0,124.05066782236099,22.0,16.84904593229294
38,Cape_Verde,NEU,3.0,2.3054094314575195,48.0,43.97104090452194,4.0,2.3874967098236084
39,Cayman_Islands,NEU,7.0,4.886480212211609,56.0,49.56272554397583,8.0,6.012757480144501
40,Central_African_Republic,NEU,21.0,17.300723016262054,82.0,72.24273133277893,2.0,1.5423890948295593
41,Chad,NEU,17.0,13.804663866758347,76.0,69.44869083166122,3.0,2.387076258659363
42,Chile,NEU,19.0,14.256031155586243,151.0,132.1791439652443,27.0,19.74077206850052
43,China,NEU,12.0,8.189890027046204,120.0,107.53948646783829,12.0,9.229857981204987
44,Christmas_Island,NEU,3.0,2.2314613461494446,62.0,57.47819781303406,3.0,1.9043549299240112
45,Colombia,NEU,11.0,9.355263590812683,101.0,90.72465485334396,7.0,5.914215624332428
46,Cook_Islands,NEU,1.0,0.9300023317337036,30.0,27.37802129983902,1.0,0.8647948503494263
47,Costa_Rica,NEU,3.0,2.5676985383033752,71.0,64.14464908838272,14.0,9.954772233963013
48,Croatia,NEU,8.0,5.875083416700363,66.0,61.56696540117264,7.0,5.853550493717194
49,Cuba,NEU,36.0,28.186380982398987,173.0,150.75034648180008,23.0,16.922325909137726
50,Cyprus,NEU,23.0,17.927186846733093,136.0,123.40138381719589,12.0,8.588305056095123
51,Czech_Republic,NEU,6.0,4.409820854663849,49.0,44.422586500644684,6.0,4.066412150859833
52,Denmark,NEU,2.0,1.1932350397109985,124.0,113.159816801548,11.0,8.17441314458847
53,Djibouti,NEU,6.0,4.527736246585846,50.0,47.97418600320816,0.0,0.0
54,Dominica,NEU,1.0,0.9610310196876526,47.0,41.15955829620361,4.0,2.931370735168457
55,Dominican_Republic,NEU,7.0,5.215956091880798,71.0,64.90191620588303,9.0,6.611530244350433
56,Dubai,NEU,14.0,11.31430071592331,111.0,97.49338129162788,16.0,12.36271607875824
57,East_Timor,NEU,11.0,8.958709359169006,98.0,86.17761987447739,8.0,5.7934147119522095
58,Easter_Island,NEU,14.0,11.59265011548996,82.0,72.30473947525024,1.0,0.5176077485084534
59,Ecuador,NEU,16.0,13.60242235660553,88.0,76.34960693120956,7.0,5.496319353580475
60,Egypt,NEU,18.0,12.796399772167206,120.0,107.11211568117142,26.0,18.781763643026352
61,El_Salvador,NEU,21.0,17.570562422275543,95.0,80.88079434633255,11.0,8.445560216903687
62,Equatorial_Guinea,NEU,7.0,5.191004037857056,51.0,46.80414408445358,2.0,1.4726831316947937
63,Eritrea,NEU,21.0,16.822523295879364,130.0,117.66843941807747,6.0,3.6855685710906982
64,Estonia,NEU,13.0,10.618385136127472,96.0,86.87122905254364,3.0,2.221753180027008
65,Ethiopia,NEU,30.0,26.159328162670135,137.0,120.04368332028389,15.0,10.984589695930481
66,Falkland_Islands,NEU,5.0,3.5433460474014282,77.0,71.27551507949829,5.0,3.539433181285858
67,Federated_States_of_Micronesia,NEU,0.0,0.0,35.0,31.624303460121155,0.0,0.0
68,Fiji,NEU,5.0,3.6195706725120544,50.0,44.51189458370209,6.0,5.312374770641327
69,Finland,NEU,6.0,4.4737436175346375,192.0,173.14752638339996,24.0,19.013589441776276
70,France,NEU,8.0,5.5224244594573975,166.0,147.47751206159592,16.0,11.473163783550262
71,French_Guiana,NEU,2.0,1.506408452987671,28.0,25.548582315444946,0.0,0.0
72,French_Polynesia,NEU,1.0,0.8589304089546204,29.0,27.234650552272797,1.0,0.618025004863739
73,Gabon,NEU,3.0,2.225497841835022,24.0,21.63952547311783,5.0,3.7158191800117493
74,Gaza_Strip,NEU,12.0,9.977845013141632,40.0,35.58160546422005,1.0,0.6340121030807495
75,Germany,NEU,34.0,26.69098836183548,219.0,195.02250999212265,22.0,16.618794858455658
76,Ghana,NEU,2.0,1.5534958839416504,52.0,45.745851039886475,8.0,6.013179779052734
77,Greece,NEU,4.0,2.8354671001434326,133.0,119.38884806632996,19.0,15.238186776638031
78,Greenland,NEU,4.0,2.6098419427871704,58.0,52.41831237077713,2.0,1.268337070941925
79,Grenada,NEU,14.0,9.98958033323288,46.0,40.28990304470062,6.0,4.414842128753662
80,Guadeloupe,NEU,5.0,4.308219611644745,44.0,40.69359850883484,6.0,4.521523296833038
81,Guam,NEU,20.0,15.577720761299133,63.0,56.32359445095062,2.0,1.5645781755447388
82,Guatemala,NEU,11.0,9.41780173778534,62.0,55.35768795013428,3.0,2.287055730819702
83,Guinea,NEU,4.0,3.750891387462616,31.0,28.26469910144806,4.0,3.343602478504181
84,Guinea-Bissau,NEU,4.0,3.6125999093055725,35.0,31.468284785747528,0.0,0.0
85,Guyana,NEU,21.0,18.45342344045639,115.0,103.2366184592247,12.0,8.977835416793823
86,Haiti,NEU,25.0,20.33681035041809,67.0,56.906384974718094,2.0,1.7650768160820007
87,Honduras,NEU,6.0,4.823694050312042,66.0,58.36100733280182,4.0,3.0758995413780212
88,Hong_Kong,NEU,16.0,11.96278703212738,169.0,149.49244171380997,27.0,21.394350111484528
89,Hungary,NEU,11.0,8.885694444179535,83.0,74.71665006875992,10.0,7.9393985867500305
90,Iceland,NEU,1.0,0.9442626237869263,84.0,76.19021672010422,5.0,3.4144939482212067
91,India,NEU,4.0,2.708457350730896,100.0,88.22793525457382,11.0,8.709799408912659
92,Indonesia,NEU,19.0,16.14145076274872,111.0,98.89719426631927,9.0,6.375094652175903
93,Iran,NEU,20.0,17.12910434603691,168.0,147.65048390626907,28.0,21.6711043715477
94,Iraq,NEU,28.0,22.184380054473877,86.0,75.56563574075699,1.0,0.8989146947860718
95,Ireland,NEU,15.0,12.044391870498657,176.0,156.99339365959167,17.0,13.531670331954956
96,Israel,NEU,42.0,32.99461615085602,194.0,170.50049364566803,28.0,20.603675723075867
97,Italy,NEU,14.0,11.573941707611084,137.0,120.38969066739082,11.0,8.34076738357544
98,Jamaica,NEU,9.0,7.197311520576477,101.0,88.37036001682281,7.0,5.356149792671204
99,Japan,NEU,10.0,8.462814152240753,163.0,142.10877948999405,17.0,12.242968618869781
100,Jordan,NEU,10.0,7.7945321798324585,121.0,106.67310139536858,10.0,7.507197082042694
101,Kazakhstan,NEU,7.0,5.420226275920868,103.0,92.01008892059326,9.0,6.179315567016602
102,Kenya,NEU,23.0,17.3730788230896,105.0,92.89091634750366,14.0,10.879402756690979
103,Korea,NEU,9.0,6.9852379858493805,73.0,65.3618146777153,6.0,3.8547070026397705
104,Kosovo,NEU,40.0,32.34174025058746,176.0,155.79876375198364,3.0,2.1172964572906494
105,Kuwait,NEU,7.0,5.259695053100586,60.0,53.00608056783676,6.0,5.221104800701141
106,Kyrgyzstan,NEU,10.0,8.803203880786896,75.0,66.47645258903503,4.0,2.316014528274536
107,Laos,NEU,6.0,4.085725545883179,62.0,55.03604847192764,4.0,3.0923255681991577
108,Latvia,NEU,12.0,9.526106357574463,97.0,88.15596997737885,4.0,2.437302052974701
109,Lebanon,NEU,43.0,34.79893207550049,139.0,124.0057977437973,18.0,13.246533036231995
110,Lesotho,NEU,13.0,9.493030190467834,62.0,55.111028373241425,6.0,4.405182898044586
111,Liberia,NEU,22.0,17.554390966892242,58.0,50.27273404598236,9.0,6.760913550853729
112,Libya,NEU,15.0,11.176924288272858,111.0,98.65453350543976,12.0,8.861364603042603
113,Liechtenstein,NEU,3.0,1.86478191614151,67.0,61.28390949964523,7.0,6.173956513404846
114,Lithuania,NEU,5.0,4.109314024448395,81.0,73.45469534397125,5.0,3.8186521530151367
115,Luxembourg,NEU,1.0,0.9288747310638428,56.0,51.20736765861511,3.0,2.142320394515991
116,Madagascar,NEU,13.0,10.710296511650085,126.0,111.71997618675232,12.0,8.759520530700684
117,Malawi,NEU,14.0,11.956991076469421,89.0,80.98646831512451,8.0,6.65220707654953
118,Malaysia,NEU,13.0,9.439310014247894,155.0,139.055373609066,11.0,7.981053471565247
119,Maldives,NEU,5.0,3.7406346201896667,55.0,49.612524569034576,6.0,5.45833545923233
120,Mali,NEU,2.0,1.3976386189460754,30.0,28.408779561519623,1.0,0.535474956035614
121,Malta,NEU,8.0,6.722952485084534,96.0,85.42996382713318,7.0,5.331590116024017
122,Martinique,NEU,1.0,0.6690387725830078,16.0,14.918269395828247,3.0,1.9604865908622742
123,Mauritania,NEU,6.0,4.695215463638306,60.0,52.56020611524582,1.0,0.550042986869812
124,Mauritius,NEU,0.0,0.0,55.0,49.73023587465286,17.0,13.037044882774353
125,Mexico,NEU,22.0,18.011834025382996,156.0,138.19166141748428,24.0,18.190154373645782
126,Moldova,NEU,16.0,13.513068497180939,94.0,82.55200052261353,13.0,10.037518322467804
127,Monaco,NEU,0.0,0.0,54.0,47.91702753305435,2.0,1.638931691646576
128,Montenegro,NEU,9.0,7.3276753425598145,112.0,102.6904890537262,2.0,1.2859325408935547
129,Montserrat,NEU,7.0,5.572717726230621,29.0,26.33829802274704,5.0,3.8337627053260803
130,Morocco,NEU,8.0,6.254078805446625,91.0,80.98345869779587,7.0,5.298232674598694
131,Mozambique,NEU,15.0,11.965003252029419,109.0,98.83793950080872,20.0,14.427000761032104
132,Myanmar,NEU,23.0,17.703719973564148,123.0,109.46362042427063,6.0,4.3978686928749084
133,Namibia,NEU,2.0,1.5578362345695496,49.0,45.42020356655121,2.0,1.317498505115509
134,Nepal,NEU,17.0,13.607340633869171,96.0,85.63812321424484,9.0,6.318042874336243
135,Netherlands,NEU,15.0,12.729158163070679,130.0,117.97467005252838,7.0,4.554331481456757
136,Netherlands_Antilles,NEU,2.0,1.6825494170188904,38.0,35.06691402196884,2.0,1.498172104358673
137,New_Zealand,NEU,8.0,6.278508841991425,135.0,118.6067904829979,21.0,16.188904464244843
138,Nicaragua,NEU,19.0,14.97986114025116,93.0,82.07850956916809,9.0,6.646605968475342
139,Niger,NEU,9.0,6.986524045467377,92.0,79.5704357624054,9.0,6.169901192188263
140,Nigeria,NEU,35.0,28.609374403953552,119.0,101.52402758598328,6.0,4.623834550380707
141,North_Korea,NEU,21.0,18.028070211410522,111.0,98.3341852426529,3.0,2.3581038117408752
142,Norway,NEU,8.0,5.982501327991486,93.0,81.28395885229111,7.0,5.429314732551575
143,Oman,NEU,3.0,2.4786194562911987,37.0,33.59732270240784,5.0,4.198774755001068
144,Pakistan,NEU,7.0,5.7008176445961,123.0,109.68341159820557,17.0,13.244746387004852
145,Palestinian_territories,NEU,4.0,2.3518855571746826,64.0,57.505179822444916,0.0,0.0
146,Panama,NEU,4.0,3.159278154373169,52.0,47.774704456329346,4.0,2.911595344543457
147,Papua_New_Guinea,NEU,7.0,5.158380746841431,105.0,95.68843340873718,10.0,8.236176311969757
148,Paraguay,NEU,2.0,1.815244734287262,35.0,32.03081226348877,1.0,0.732537031173706
149,Peru,NEU,16.0,13.46513432264328,243.0,210.33078864216805,53.0,38.8102108836174
150,Philippines,NEU,9.0,6.702396929264069,97.0,88.90948104858398,13.0,9.800494074821472
151,Poland,NEU,11.0,8.687933623790741,118.0,107.73949706554413,12.0,8.625479757785797
152,Portugal,NEU,3.0,2.4224076867103577,77.0,68.54772537946701,25.0,19.040255427360535
153,Puerto_Rico,NEU,10.0,7.480071425437927,160.0,141.76357460021973,13.0,9.149214148521423
154,Qatar,NEU,4.0,2.7741289138793945,58.0,51.345070004463196,10.0,7.689700603485107
155,Republic_of_China,NEU,20.0,16.393960893154144,209.0,185.6000405550003,12.0,8.345262587070465
156,Republic_of_Ireland,NEU,9.0,7.453450918197632,126.0,113.4986841082573,11.0,8.228699207305908
157,Republic_of_Macedonia,NEU,19.0,14.795610845088959,127.0,113.33094382286072,17.0,13.036301255226135
158,Romania,NEU,13.0,11.152408003807068,134.0,121.81777882575989,19.0,14.39738118648529
159,Russia,NEU,23.0,17.45841109752655,165.0,145.78247553110123,9.0,7.020507276058197
160,Rwanda,NEU,19.0,14.976839125156403,69.0,63.02900415658951,2.0,1.3944928050041199
161,Saint_Helena,NEU,1.0,0.8270584940910339,57.0,53.08125364780426,1.0,0.9150552749633789
162,Saint_Kitts_and_Nevis,NEU,2.0,1.5194238424301147,28.0,26.18743860721588,0.0,0.0
163,Saint_Lucia,NEU,0.0,0.0,28.0,24.81609845161438,5.0,4.330605745315552
164,Saint_Vincent_and_the_Grenadines,NEU,5.0,4.414485335350037,30.0,26.363921642303467,1.0,0.8155580163002014
165,Samoa,NEU,4.0,3.340216040611267,57.0,50.98568049073219,6.0,4.573611259460449
166,San_Marino,NEU,0.0,0.0,38.0,35.47828930616379,0.0,0.0
167,Saudi_Arabia,NEU,16.0,12.481452643871307,121.0,110.1730226278305,9.0,6.288489878177643
168,Senegal,NEU,3.0,2.2486824989318848,39.0,36.981663942337036,1.0,0.8897908926010132
169,Serbia,NEU,6.0,4.366547763347626,121.0,110.30634236335754,1.0,0.48704132437705994
170,Serbia_and_Montenegro,NEU,3.0,2.4500622749328613,45.0,40.87034147977829,0.0,0.0
171,Sierra_Leone,NEU,12.0,9.225086152553558,87.0,77.14509958028793,10.0,8.317534685134888
172,Singapore,NEU,12.0,9.269928872585297,134.0,117.21960216760635,26.0,20.466215074062347
173,Slovakia,NEU,7.0,5.777544379234314,57.0,51.52815729379654,6.0,4.420931756496429
174,Slovenia,NEU,0.0,0.0,92.0,84.50394439697266,6.0,4.855180561542511
175,Solomon_Islands,NEU,19.0,15.438725233078003,58.0,53.28417181968689,2.0,1.275612473487854
176,Somalia,NEU,22.0,17.051782190799713,98.0,87.82383632659912,8.0,6.47853022813797
177,South_Africa,NEU,36.0,27.73040372133255,144.0,127.71479046344757,18.0,13.160169064998627
178,South_Korea,NEU,6.0,5.085394740104675,80.0,70.47228133678436,21.0,15.007041037082672
179,South_Ossetia,NEU,17.0,13.05789041519165,48.0,42.684496223926544,2.0,1.4753679633140564
180,Spain,NEU,31.0,24.540853679180145,237.0,206.7382482290268,20.0,14.686742067337036
181,Sri_Lanka,NEU,11.0,8.096327602863312,115.0,102.0219976902008,16.0,12.096465468406677
182,Sudan,NEU,38.0,31.196588099002838,120.0,108.72644802927971,5.0,3.647724449634552
183,Suriname,NEU,5.0,4.332880437374115,55.0,50.59048867225647,2.0,1.4877219796180725
184,Swaziland,NEU,8.0,6.206420063972473,38.0,34.474896132946014,2.0,1.6998052597045898
185,Sweden,NEU,7.0,4.944331884384155,178.0,155.77990520000458,36.0,28.453899800777435
186,Switzerland,NEU,7.0,5.505818426609039,108.0,94.72319683432579,7.0,5.36019366979599
187,Syria,NEU,25.0,19.718205392360687,151.0,133.3020806312561,10.0,7.373779594898224
188,Taiwan,NEU,16.0,12.447653412818909,107.0,93.89184993505478,8.0,6.363818883895874
189,Tajikistan,NEU,7.0,5.369349241256714,55.0,48.6788090467453,1.0,0.9394456744194031
190,Tanzania,NEU,15.0,11.959092378616333,132.0,119.83160036802292,10.0,7.519568204879761
191,Thailand,NEU,4.0,3.357122480869293,70.0,63.74173140525818,16.0,11.5443794131279
192,The_Bahamas,NEU,6.0,4.605228960514069,36.0,32.02630913257599,6.0,4.694744944572449
193,The_Gambia,NEU,5.0,3.7694133520126343,50.0,45.95649439096451,2.0,1.4728524088859558
194,Tibet,NEU,30.0,22.37378865480423,147.0,132.98319500684738,6.0,4.274677872657776
195,Togo,NEU,12.0,9.688241124153137,41.0,36.067278295755386,2.0,1.5086041688919067
196,Tonga,NEU,12.0,9.486571729183197,80.0,70.9607247710228,12.0,9.146107137203217
197,Trinidad_and_Tobago,NEU,4.0,3.2270572185516357,78.0,69.16962623596191,12.0,9.448417067527771
198,Tunisia,NEU,12.0,9.642794907093048,51.0,44.910288751125336,4.0,2.8086076974868774
199,Turkey,NEU,11.0,8.460150241851807,161.0,145.35021990537643,13.0,9.022132813930511
200,Turkish_Republic_of_Northern_Cyprus,NEU,13.0,9.968292474746704,64.0,56.49144011735916,2.0,1.4798446297645569
201,Turkmenistan,NEU,7.0,5.969941318035126,47.0,41.64438331127167,0.0,0.0
202,Turks_and_Caicos_Islands,NEU,1.0,0.7771337032318115,64.0,59.252408027648926,1.0,0.6916130185127258
203,Tuvalu,NEU,7.0,5.137825012207031,49.0,44.24362403154373,1.0,0.7618091106414795
204,Uganda,NEU,12.0,10.429886519908905,82.0,73.94153517484665,6.0,4.194871127605438
205,Ukraine,NEU,21.0,17.6067533493042,149.0,133.06380730867386,12.0,7.830176770687103
206,United_Arab_Emirates,NEU,9.0,6.273098707199097,36.0,32.69350844621658,5.0,4.067141234874725
207,United_Kingdom,NEU,6.0,4.661351561546326,209.0,184.73837146162987,32.0,25.05893850326538
208,United_States,NEU,15.0,9.98925632238388,218.0,193.4736943244934,24.0,17.874211609363556
209,Uruguay,NEU,4.0,2.991302192211151,51.0,47.24212622642517,9.0,6.223824381828308
210,Uzbekistan,NEU,18.0,13.903632164001465,89.0,79.40617114305496,5.0,3.5163838267326355
211,Vanuatu,NEU,6.0,4.641532480716705,49.0,43.90912044048309,5.0,3.9142826199531555
212,Vatican_City,NEU,3.0,2.6536893248558044,112.0,103.11963248252869,4.0,3.0313247442245483
213,Venezuela,NEU,11.0,8.074598133563995,91.0,81.74061697721481,8.0,6.239216148853302
214,Vietnam,NEU,20.0,17.126654148101807,119.0,105.21010291576385,15.0,11.758480608463287
215,West_Bank,NEU,15.0,11.718062162399292,135.0,121.9008777141571,4.0,2.384537398815155
216,Western_Sahara,NEU,24.0,18.42456191778183,79.0,70.8460744023323,1.0,0.630308210849762
217,Yemen,NEU,7.0,5.260394394397736,102.0,91.41899913549423,3.0,2.0534016489982605
218,Zambia,NEU,18.0,14.53870290517807,104.0,94.60292553901672,2.0,1.5391128063201904
219,Zimbabwe,NEU,23.0,18.745986700057983,74.0,63.07530814409256,4.0,2.907004237174988
